src	prediction	entropy
estitorate	oiestitorating	10.862895011901855
emprotify	oiemprotifying	11.216294288635254
murd-rese	oimurd-resing	10.34925651550293
preclid	eipreclidding	11.243585586547852
saclest	oisaclesting	9.133437156677246
forthurn	oiforthurning	11.20169448852539
scowsted	oiscowstedding	10.631503105163574
miscombabe	oimiscombabing	10.300039291381836
befuckser	oibefucksering	10.324996948242188
forecriminate	ocforecriminating	14.479031562805176
discalestalize	otdiscalestalizing	13.0445556640625
desenetate	oidesenetating	9.911818504333496
compitalate	otcompitalating	10.610840797424316
domenate	oidomenating	9.24000072479248
polturitate	oipolturitating	11.364584922790527
commisexidate	otcommisexidating	11.092758178710938
furstrain	oifurstraining	10.42595100402832
rechock	oirechocking	9.236519813537598
underforsee	ocunderforsing	11.168275833129883
enderblack	otenderblacking	11.076032638549805
pristhost	oipristhosting	10.387078285217285
sureenthan	oisureenthaning	11.14865779876709
exsear	oiexsearing	8.601303100585938
disenteristrow	otdisenteristrowing	13.540584564208984
umbain	oiumbaining	8.531723976135254
stipialize	oistipializing	10.516660690307617
signize	oisignizing	8.533672332763672
rebulise	oirebulising	9.609082221984863
bepelicalize	oibepelicalizing	11.590447425842285
umprit	oiumpritting	10.36123275756836
ensteel	onensteeling	9.34945011138916
repoose	oirepoosing	8.943227767944336
coreperch	oicoreperching	11.423714637756348
deshard	oidesharding	8.772076606750488
preporise	oipreporising	10.785627365112305
forestate	oiforestating	10.008549690246582
fostrip	oifostripping	9.518641471862793
reponselture	otreponselturing	11.44227409362793
pridail	oipridailing	8.941644668579102
debrate	oidebrating	8.39113712310791
extect	oiextecting	9.029614448547363
fackpat	oifackpatting	9.481056213378906
beanicate	oibeanicating	10.000926971435547
mesect-compresenserate	otmesect-compresed	14.489638328552246
desthar	oidestharring	9.35151195526123
shelphar	oishelpharing	9.873903274536133
misbowshuse	oimisbowshusing	10.390161514282227
unputch	oiunputching	9.679435729980469
manshott	oimanshotting	9.11941146850586
disimblacalise	otdisimblacalising	12.967289924621582
exhillain	oiexhillaining	10.441250801086426
